Quan,Khoang_cach_TT_km,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Loai_duong,O_to_vao,Co_Gara,Co_San_thuong,Gan_Metro_Bus,Mat_do_dan_cu,An_ninh,Gan_nghia_trang_bai_rac,Tinh_trang_ngap,Noi_that,Tinh_trang_Dien_Nuoc,Tuoi_nha_nam,Gia_ban_ty
Long Biên,8.36,104,7.1,1,2,2,5.4,Đường nhựa,1,1,0,0,Cao,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,17,20.14
Nam Từ Liêm,14.17,61,7.2,4,1,1,3.5,Đường bê tông,0,0,1,0,Cao,Tốt,0,Không ngập,Cơ bản,Tốt,15,6.34
Long Biên,5.74,46,6.7,1,1,2,11.9,Đường nhựa,1,1,0,1,Trung bình,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,5,13.99
Long Biên,14.35,67,3.8,7,14,9,3.0,Đường bê tông,0,0,1,0,Cao,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,18,8.05
Hoàng Mai,6.14,25,9.2,2,3,1,9.6,Đường nhựa,1,0,0,1,Thấp,Tốt,0,Không ngập,Full cao cấp,Tốt,5,5.78
Tây Hồ,7.23,68,3.9,7,2,3,5.0,Đường đất,1,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,10,22.42
Bắc Từ Liêm,12.68,61,5.8,6,2,3,5.5,Đường đất,1,1,1,1,Trung bình,Tốt,0,Không ngập,Cơ bản,Hay hỏng,14,8.75
Long Biên,14.24,114,5.4,2,2,1,3.3,Đường bê tông,0,0,0,0,Cao,Bình thường,0,Không ngập,Cơ bản,Tốt,19,14.68
Hoàng Mai,5.41,51,7.7,3,6,1,11.1,Đường đất,1,1,1,0,Trung bình,Bình thường,0,Ngập nhẹ,Cơ bản,Tốt,7,9.02
Hoàn Kiếm,0.71,25,5.1,3,4,1,7.6,Đường nhựa,1,0,1,1,Trung bình,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,3,18.25
Nam Từ Liêm,12.29,83,3.9,1,2,2,1.9,Đường bê tông,0,0,0,0,Thấp,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,28,10.52
Cầu Giấy,8.72,39,7.6,2,1,1,6.8,Đường đất,1,0,0,0,Trung bình,Rất tốt (VIP),0,Ngập nhẹ,Đồ gỗ xịn,Tốt,14,9.74
Đống Đa,4.69,25,8.1,8,12,12,10.0,Đường đất,1,0,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,8,6.7
Hoàn Kiếm,1.29,116,8.2,1,1,2,8.7,Đường bê tông,1,1,0,0,Thấp,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,30,84.67
Thanh Xuân,8.49,75,4.1,2,2,2,5.2,Đường nhựa,1,0,0,0,Thấp,Bình thường,0,Không ngập,Cơ bản,Tốt,21,13.77
Long Biên,11.4,49,7.8,5,10,4,11.7,Đường bê tông,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Ngập nhẹ,Đồ gỗ xịn,Tốt,1,8.89
Bắc Từ Liêm,15.33,76,8.8,4,5,3,4.5,Đường nhựa,1,1,1,1,Thấp,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,5,11.35
Bắc Từ Liêm,10.99,71,4.5,6,11,11,11.8,Đường bê tông,1,0,1,1,Cao,Rất tốt (VIP),0,Ngập nhẹ,Cơ bản,Hay hỏng,23,9.85
Hoàng Mai,8.15,51,10.0,3,6,5,8.2,Đường bê tông,1,1,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Hay hỏng,18,8.41
Đống Đa,4.67,62,9.3,1,2,1,2.7,Đường bê tông,0,0,0,0,Cao,Bình thường,0,Không ngập,Full cao cấp,Tốt,14,15.31
Tây Hồ,6.76,67,4.0,4,4,3,1.5,Đường bê tông,0,0,1,0,Trung bình,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,19,18.79
Hà Đông,17.4,88,8.5,8,5,6,2.3,Đường bê tông,0,0,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,20,7.53
Thanh Xuân,8.15,57,8.5,2,1,2,7.3,Đường bê tông,1,1,0,1,Thấp,Bình thường,0,Không ngập,Full cao cấp,Tốt,3,17.7
Hai Bà Trưng,4.08,25,4.6,6,6,1,1.6,Đường bê tông,0,0,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,26,4.77
Tây Hồ,4.75,25,4.0,5,8,8,10.2,Đường đất,1,0,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,22,10.31
Đống Đa,5.14,99,3.2,2,3,1,2.0,Đường bê tông,0,0,0,0,Cao,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,6,20.13
Cầu Giấy,7.91,94,5.6,4,4,3,11.3,Đường đất,1,1,1,0,Cao,Tốt,0,Không ngập,Nhà trống,Tốt,23,22.19
Long Biên,9.2,119,6.0,1,2,1,3.0,Đường bê tông,0,0,0,1,Cao,Bình thường,1,Không ngập,Cơ bản,Tốt,28,13.34
Ba Đình,2.15,52,7.0,6,7,1,11.8,Đường nhựa,1,1,1,1,Thấp,Tốt,0,Không ngập,Cơ bản,Tốt,5,22.38
Long Biên,10.2,25,3.2,3,2,3,7.1,Đường đất,1,0,1,1,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,19,4.17
Tây Hồ,5.32,89,5.0,8,15,9,2.5,Đường bê tông,0,0,1,0,Trung bình,Tốt,0,Không ngập,Cơ bản,Tốt,20,24.85
Hoàng Mai,10.91,133,7.2,6,5,4,9.3,Đường đất,1,1,1,0,Cao,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,18,23.86
Bắc Từ Liêm,14.99,62,9.5,7,9,9,7.1,Đường đất,1,1,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Hay hỏng,21,7.11
Cầu Giấy,7.77,49,7.9,3,3,4,9.1,Đường đất,1,1,1,0,Trung bình,Tốt,0,Không ngập,Nhà trống,Tốt,5,12.83
Hoàng Mai,5.76,37,7.1,7,7,1,10.3,Đường nhựa,1,0,1,1,Trung bình,Bình thường,0,Không ngập,Nhà trống,Tốt,11,7.74
Đống Đa,5.45,32,6.1,2,4,5,11.5,Đường bê tông,1,0,0,0,Thấp,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,12,8.04
Tây Hồ,6.89,32,3.4,7,14,9,2.5,Đường bê tông,0,0,1,1,Thấp,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,7,8.87
Hoàng Mai,7.51,39,9.4,7,12,4,8.4,Đường đất,1,0,1,0,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Hay hỏng,22,5.78
Tây Hồ,5.36,78,5.0,1,1,1,3.3,Đường bê tông,0,0,0,0,Trung bình,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Hay hỏng,19,21.77
Bắc Từ Liêm,12.03,68,9.1,2,2,2,9.1,Đường nhựa,1,1,0,1,Trung bình,Bình thường,0,Không ngập,Đồ gỗ xịn,Hay hỏng,30,10.63
Bắc Từ Liêm,13.97,87,9.8,8,11,11,7.5,Đường bê tông,1,1,1,1,Cao,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,7,13.49
Cầu Giấy,7.04,65,3.5,4,5,1,3.2,Đường bê tông,0,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,2,16.37
Ba Đình,2.07,81,5.3,7,4,4,8.3,Đường bê tông,1,1,1,0,Thấp,Kém (Hay mất trộm),0,Ngập nhẹ,Đồ gỗ xịn,Tốt,6,34.2
Đống Đa,5.49,25,9.1,4,8,7,2.6,Đường bê tông,0,0,1,0,Cao,Tốt,0,Không ngập,Full cao cấp,Tốt,23,5.82
Bắc Từ Liêm,13.07,28,4.4,6,7,1,2.5,Đường bê tông,0,0,1,1,Cao,Bình thường,0,Ngập nhẹ,Đồ gỗ xịn,Tốt,9,3.17
Nam Từ Liêm,10.72,78,3.4,4,7,1,7.8,Đường nhựa,1,0,1,0,Cao,Tốt,0,Không ngập,Nhà trống,Tốt,15,11.06
Long Biên,6.51,25,3.9,2,4,2,4.8,Đường nhựa,1,0,0,0,Thấp,Bình thường,0,Không ngập,Nhà trống,Hay hỏng,10,4.4
Hoàn Kiếm,1.32,82,6.6,4,5,3,3.8,Đường nhựa,0,0,1,1,Trung bình,Bình thường,1,Không ngập,Cơ bản,Tốt,7,25.53
Hoàn Kiếm,0.24,90,5.4,5,2,2,3.8,Đường nhựa,0,0,1,1,Thấp,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,24,48.57
Hoàng Mai,9.6,56,6.5,5,2,1,10.5,Đường nhựa,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,3,10.15
Hà Đông,17.12,91,4.7,7,14,7,2.9,Đường bê tông,0,0,1,0,Trung bình,Bình thường,1,Ngập sâu,Full cao cấp,Hay hỏng,12,5.16
Hoàng Mai,11.26,41,8.9,1,2,3,1.9,Đường bê tông,0,0,0,0,Thấp,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,27,4.98
Hoàng Mai,11.2,33,9.9,1,1,2,9.9,Đường nhựa,1,0,0,1,Thấp,Kém (Hay mất trộm),0,Ngập nhẹ,Full cao cấp,Tốt,27,6.54
Tây Hồ,5.76,25,4.9,8,3,3,4.9,Đường đất,1,0,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,1,9.0
Bắc Từ Liêm,14.15,88,3.3,8,8,4,1.8,Đường bê tông,0,0,1,0,Thấp,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,28,8.24
Hoàn Kiếm,1.16,62,6.7,6,7,5,7.1,Đường đất,1,1,1,0,Cao,Rất tốt (VIP),0,Ngập nhẹ,Nhà trống,Tốt,18,37.94
Tây Hồ,6.63,66,5.1,7,5,5,9.4,Đường nhựa,1,1,1,0,Cao,Bình thường,0,Không ngập,Cơ bản,Tốt,23,26.13
Hoàng Mai,5.56,42,3.4,4,1,1,1.9,Đường bê tông,0,0,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Hay hỏng,12,5.36
Nam Từ Liêm,15.55,74,7.4,1,1,2,2.5,Đường bê tông,0,0,0,0,Cao,Tốt,0,Không ngập,Full cao cấp,Tốt,7,8.75
Thanh Xuân,6.48,70,7.6,5,9,4,9.9,Đường nhựa,1,1,1,1,Trung bình,Bình thường,0,Không ngập,Full cao cấp,Tốt,6,20.02
Tây Hồ,6.71,44,6.7,2,2,1,5.4,Đường bê tông,1,0,0,0,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,11,15.34
Ba Đình,3.28,53,4.0,1,2,3,10.2,Đường đất,1,0,0,1,Thấp,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,2,17.01
Hà Đông,15.73,84,6.7,6,7,3,9.0,Đường bê tông,1,1,1,1,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Hay hỏng,18,12.71
Long Biên,6.91,53,9.3,2,4,3,2.7,Đường bê tông,0,0,0,0,Thấp,Tốt,0,Ngập nhẹ,Nhà trống,Tốt,12,7.56
Bắc Từ Liêm,10.06,61,8.2,2,3,4,4.7,Đường bê tông,1,1,0,1,Thấp,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,12,11.44
Nam Từ Liêm,14.86,103,7.6,4,4,1,10.2,Đường đất,1,1,1,0,Cao,Tốt,0,Không ngập,Đồ gỗ xịn,Hay hỏng,20,13.99
Hà Đông,15.48,93,8.4,7,3,1,3.9,Đường nhựa,0,0,1,0,Thấp,Bình thường,0,Không ngập,Cơ bản,Tốt,19,8.64
Hoàng Mai,5.53,34,3.4,2,4,2,4.2,Đường đất,1,0,0,0,Cao,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,13,5.32
Tây Hồ,7.15,99,9.2,1,1,2,6.6,Đường nhựa,1,1,0,0,Trung bình,Rất tốt (VIP),0,Ngập nhẹ,Cơ bản,Hay hỏng,26,35.32
Hoàng Mai,9.93,54,3.1,6,3,1,3.3,Đường bê tông,0,0,1,0,Cao,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,3,7.16
Nam Từ Liêm,15.48,36,7.9,7,2,2,10.8,Đường bê tông,1,0,1,0,Trung bình,Bình thường,1,Ngập sâu,Full cao cấp,Hay hỏng,24,3.04
Tây Hồ,5.33,62,3.4,7,8,3,4.8,Đường nhựa,1,0,1,1,Thấp,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,12,30.61
Tây Hồ,5.95,55,5.9,4,7,2,9.4,Đường đất,1,1,1,1,Trung bình,Rất tốt (VIP),0,Ngập nhẹ,Full cao cấp,Hay hỏng,11,28.52
Ba Đình,2.63,108,8.5,2,1,1,5.9,Đường nhựa,1,1,0,0,Trung bình,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,22,41.97
Bắc Từ Liêm,12.42,28,7.9,1,2,2,11.2,Đường đất,1,0,0,0,Trung bình,Bình thường,0,Không ngập,Cơ bản,Tốt,6,3.2
Hoàng Mai,8.74,58,5.4,1,1,1,4.4,Đường nhựa,1,1,0,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,20,10.65
Thanh Xuân,7.82,55,8.7,2,1,2,1.6,Đường bê tông,0,0,0,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,11,7.95
Hoàng Mai,5.98,45,8.4,3,4,2,10.4,Đường bê tông,1,0,1,1,Cao,Bình thường,0,Không ngập,Cơ bản,Tốt,4,8.86
Hà Đông,18.71,58,4.2,7,3,3,3.4,Đường bê tông,0,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,0,6.26
Hà Đông,19.84,50,9.2,5,1,1,4.0,Đường bê tông,1,1,1,1,Cao,Bình thường,0,Không ngập,Cơ bản,Tốt,17,6.4
Đống Đa,3.39,106,8.5,5,3,1,8.0,Đường nhựa,1,1,1,0,Thấp,Bình thường,0,Không ngập,Cơ bản,Tốt,13,33.55
Hai Bà Trưng,4.9,38,7.7,6,7,8,10.6,Đường bê tông,1,0,1,0,Cao,Bình thường,0,Không ngập,Full cao cấp,Tốt,12,10.58
Hoàng Mai,7.07,70,4.3,7,10,6,10.1,Đường đất,1,0,1,0,Cao,Tốt,0,Ngập nhẹ,Full cao cấp,Hay hỏng,11,11.17
Long Biên,7.68,102,8.6,3,5,1,3.6,Đường đất,0,0,1,0,Trung bình,Kém (Hay mất trộm),1,Không ngập,Đồ gỗ xịn,Tốt,5,8.4
Đống Đa,5.18,53,9.8,2,1,2,8.7,Đường đất,1,1,0,1,Cao,Tốt,1,Không ngập,Đồ gỗ xịn,Tốt,15,11.03
Nam Từ Liêm,11.53,84,3.3,8,9,2,8.9,Đường bê tông,1,0,1,0,Cao,Tốt,0,Không ngập,Cơ bản,Tốt,2,13.1
Hoàng Mai,11.15,86,4.1,3,1,2,3.6,Đường đất,0,0,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Hay hỏng,11,8.34
Hoàn Kiếm,1.87,69,9.8,8,8,4,7.7,Đường bê tông,1,1,1,0,Thấp,Rất tốt (VIP),1,Không ngập,Full cao cấp,Tốt,22,36.04
Hai Bà Trưng,3.03,25,8.3,3,6,6,2.6,Đường bê tông,0,0,1,0,Trung bình,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,27,6.28
Hoàng Mai,6.22,99,8.1,4,7,6,8.8,Đường đất,1,1,1,0,Cao,Tốt,0,Ngập sâu,Full cao cấp,Tốt,2,14.91
Hà Đông,17.29,108,5.5,2,4,3,8.2,Đường đất,1,1,0,1,Cao,Bình thường,0,Không ngập,Full cao cấp,Tốt,18,15.07
Hai Bà Trưng,2.25,96,6.8,1,1,2,3.0,Đường bê tông,0,0,0,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,2,26.6
Cầu Giấy,6.73,93,9.6,8,1,1,6.4,Đường bê tông,1,1,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,19,32.17
Hoàng Mai,6.66,42,8.4,7,1,1,9.2,Đường đất,1,0,1,0,Cao,Bình thường,0,Không ngập,Cơ bản,Tốt,18,6.25
Đống Đa,4.83,43,7.6,5,2,3,7.1,Đường đất,1,0,1,0,Trung bình,Kém (Hay mất trộm),1,Không ngập,Full cao cấp,Tốt,14,8.36
Hoàn Kiếm,0.21,90,8.8,3,2,2,9.5,Đường bê tông,1,1,1,1,Thấp,Bình thường,1,Không ngập,Full cao cấp,Hay hỏng,12,54.63
Hai Bà Trưng,3.49,74,7.0,4,2,2,7.4,Đường bê tông,1,1,1,1,Thấp,Tốt,1,Không ngập,Nhà trống,Tốt,8,19.63
Nam Từ Liêm,15.5,79,8.6,2,4,5,3.1,Đường bê tông,0,0,0,0,Cao,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,8,8.73
Tây Hồ,5.56,57,3.9,1,1,1,4.9,Đường nhựa,1,0,0,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,6,19.32
Long Biên,12.04,64,4.9,5,4,4,6.1,Đường đất,1,1,1,0,Thấp,Bình thường,0,Ngập nhẹ,Đồ gỗ xịn,Tốt,1,10.4
Long Biên,10.36,57,6.7,2,4,4,10.2,Đường bê tông,1,1,0,0,Cao,Tốt,0,Không ngập,Nhà trống,Tốt,4,11.2
Thanh Xuân,8.35,94,3.9,4,8,6,11.1,Đường đất,1,0,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Tốt,11,19.49
Hai Bà Trưng,2.6,25,4.0,5,3,1,3.5,Đường bê tông,0,0,1,0,Cao,Tốt,0,Không ngập,Nhà trống,Tốt,8,5.08
Cầu Giấy,6.01,67,8.9,4,1,2,6.6,Đường bê tông,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Ngập sâu,Nhà trống,Tốt,26,16.28
Đống Đa,3.09,54,7.9,7,1,1,6.1,Đường bê tông,1,1,1,1,Cao,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,7,17.64
Long Biên,8.86,71,7.3,3,2,2,6.7,Đường bê tông,1,1,1,1,Cao,Tốt,0,Không ngập,Full cao cấp,Hay hỏng,27,18.31
Hai Bà Trưng,3.5,64,8.3,5,10,3,7.2,Đường nhựa,1,1,1,1,Cao,Bình thường,0,Không ngập,Full cao cấp,Tốt,29,25.34
Hoàng Mai,7.11,39,8.8,8,11,7,3.1,Đường bê tông,0,0,1,0,Cao,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,20,5.34
Tây Hồ,7.87,82,9.0,8,7,5,10.6,Đường bê tông,1,1,1,1,Trung bình,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,2,40.67
Hai Bà Trưng,4.85,56,8.0,8,4,4,1.6,Đường bê tông,0,0,1,1,Cao,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,5,11.51
Long Biên,12.23,74,7.8,4,4,3,3.4,Đường bê tông,0,0,1,0,Cao,Bình thường,0,Không ngập,Cơ bản,Tốt,12,10.08
Hoàng Mai,6.23,73,4.5,4,5,3,11.0,Đường bê tông,1,0,1,0,Cao,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,6,14.51
Hoàng Mai,10.78,107,3.7,3,1,2,7.4,Đường bê tông,1,0,1,0,Cao,Bình thường,0,Không ngập,Nhà trống,Tốt,16,15.47
Ba Đình,3.67,96,5.2,5,3,2,5.2,Đường bê tông,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Ngập nhẹ,Nhà trống,Tốt,9,38.73
Hà Đông,18.55,106,3.3,7,3,2,5.5,Đường đất,1,0,1,1,Cao,Kém (Hay mất trộm),0,Không ngập,Full cao cấp,Hay hỏng,22,14.61
Long Biên,6.14,55,4.2,4,3,2,1.7,Đường bê tông,0,0,1,0,Thấp,Tốt,1,Không ngập,Đồ gỗ xịn,Tốt,6,4.99
Đống Đa,3.14,100,6.1,2,3,3,10.7,Đường nhựa,1,1,0,0,Cao,Kém (Hay mất trộm),0,Ngập nhẹ,Cơ bản,Tốt,27,32.38
Hoàng Mai,6.59,60,3.3,2,1,1,11.6,Đường đất,1,0,0,1,Thấp,Rất tốt (VIP),0,Không ngập,Nhà trống,Tốt,4,11.26
Cầu Giấy,7.08,55,3.4,7,12,11,8.3,Đường đất,1,0,1,0,Trung bình,Bình thường,0,Không ngập,Nhà trống,Tốt,22,12.3
Thanh Xuân,8.22,97,7.1,7,6,7,7.4,Đường bê tông,1,1,1,0,Cao,Bình thường,0,Không ngập,Full cao cấp,Tốt,23,24.64
Thanh Xuân,8.37,50,4.1,3,1,1,10.1,Đường nhựa,1,0,1,0,Trung bình,Tốt,0,Không ngập,Nhà trống,Tốt,29,9.38
Hà Đông,19.35,47,5.3,4,3,2,8.8,Đường nhựa,1,1,1,0,Thấp,Bình thường,0,Không ngập,Cơ bản,Tốt,5,5.47
Hoàng Mai,5.67,44,4.8,5,6,5,7.2,Đường nhựa,1,0,1,0,Thấp,Rất tốt (VIP),0,Ngập sâu,Đồ gỗ xịn,Hay hỏng,25,5.52
Thanh Xuân,7.06,81,3.1,8,10,8,11.0,Đường đất,1,0,1,1,Trung bình,Rất tốt (VIP),0,Không ngập,Nhà trống,Hay hỏng,26,20.08
Cầu Giấy,8.32,74,4.9,7,13,1,5.1,Đường bê tông,1,1,1,0,Thấp,Kém (Hay mất trộm),0,Ngập nhẹ,Đồ gỗ xịn,Tốt,21,19.36
Nam Từ Liêm,12.53,26,3.4,8,14,5,10.0,Đường đất,1,0,1,0,Trung bình,Tốt,0,Ngập sâu,Cơ bản,Tốt,13,2.48
Bắc Từ Liêm,13.7,104,9.4,8,8,6,10.6,Đường nhựa,1,1,1,0,Cao,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,6,16.82
Hai Bà Trưng,2.83,90,8.7,5,7,6,6.7,Đường bê tông,1,1,1,0,Trung bình,Bình thường,0,Không ngập,Full cao cấp,Hay hỏng,26,29.81
Hai Bà Trưng,3.19,53,9.1,6,9,1,2.3,Đường bê tông,0,0,1,0,Thấp,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,4,11.64
Bắc Từ Liêm,15.51,58,3.3,4,7,6,11.0,Đường đất,1,0,1,0,Cao,Bình thường,1,Không ngập,Cơ bản,Hay hỏng,12,3.9
Hai Bà Trưng,3.16,36,6.4,8,12,8,11.5,Đường đất,1,0,1,0,Cao,Kém (Hay mất trộm),0,Ngập nhẹ,Full cao cấp,Tốt,0,10.58
Nam Từ Liêm,13.69,63,8.0,8,2,1,9.2,Đường đất,1,1,1,0,Cao,Rất tốt (VIP),0,Không ngập,Full cao cấp,Tốt,13,12.27
Hoàn Kiếm,1.99,79,6.2,5,3,2,11.0,Đường nhựa,1,1,1,0,Cao,Bình thường,0,Không ngập,Cơ bản,Tốt,5,47.44
Hoàn Kiếm,0.26,69,4.3,7,14,5,1.8,Đường bê tông,0,0,1,1,Trung bình,Tốt,0,Không ngập,Full cao cấp,Tốt,14,40.97
Hoàng Mai,8.34,41,5.0,6,11,9,10.1,Đường nhựa,1,0,1,0,Cao,Tốt,0,Không ngập,Full cao cấp,Tốt,8,7.19
Hoàng Mai,7.99,106,4.8,3,2,3,8.7,Đường bê tông,1,1,1,0,Trung bình,Bình thường,0,Không ngập,Cơ bản,Tốt,21,18.93
Ba Đình,3.53,33,7.8,8,6,2,3.3,Đường bê tông,0,0,1,0,Cao,Bình thường,0,Không ngập,Full cao cấp,Tốt,5,10.72
Ba Đình,2.72,64,5.5,5,3,4,9.0,Đường nhựa,1,1,1,1,Thấp,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,19,26.88
Hai Bà Trưng,4.21,52,3.7,2,2,1,6.7,Đường đất,1,0,0,0,Cao,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,26,12.58
Hoàng Mai,7.11,50,4.3,6,9,4,2.0,Đường bê tông,0,0,1,0,Thấp,Rất tốt (VIP),0,Không ngập,Cơ bản,Tốt,0,7.42
Hoàng Mai,7.56,46,5.0,6,2,2,1.8,Đường bê tông,0,0,1,0,Cao,Kém (Hay mất trộm),0,Ngập nhẹ,Đồ gỗ xịn,Hay hỏng,17,5.45
Hà Đông,14.56,65,3.5,5,9,2,7.9,Đường bê tông,1,0,1,0,Trung bình,Bình thường,0,Không ngập,Cơ bản,Hay hỏng,12,7.02
Hai Bà Trưng,4.97,72,3.9,8,9,4,5.6,Đường bê tông,1,0,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Đồ gỗ xịn,Tốt,5,19.29
Tây Hồ,5.81,87,5.6,7,12,12,11.3,Đường bê tông,1,1,1,0,Thấp,Bình thường,0,Không ngập,Nhà trống,Tốt,4,32.32
Hoàng Mai,8.73,63,5.3,5,2,1,11.4,Đường đất,1,1,1,0,Trung bình,Kém (Hay mất trộm),0,Không ngập,Nhà trống,Tốt,18,10.34
Ba Đình,3.43,109,7.8,8,4,5,10.1,Đường nhựa,1,1,1,0,Cao,Rất tốt (VIP),0,Không ngập,Đồ gỗ xịn,Tốt,15,48.6
Cầu Giấy,7.18,65,4.9,4,1,2,4.3,Đường bê tông,1,1,1,1,Trung bình,Tốt,0,Không ngập,Nhà trống,Tốt,23,21.61
Cầu Giấy,7.56,84,4.1,6,2,3,9.6,Đường bê tông,1,0,1,1,Cao,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,16,24.26
Nam Từ Liêm,10.67,62,5.7,5,4,3,9.8,Đường bê tông,1,1,1,1,Cao,Bình thường,0,Không ngập,Full cao cấp,Hay hỏng,15,13.65
Ba Đình,4.29,64,9.8,3,1,2,11.9,Đường bê tông,1,1,1,1,Thấp,Bình thường,0,Không ngập,Đồ gỗ xịn,Tốt,29,26.58
Thanh Xuân,8.3,48,6.0,7,11,4,2.4,Đường bê tông,0,0,1,1,Cao,Kém (Hay mất trộm),0,Không ngập,Cơ bản,Tốt,13,8.27
Đống Đa,4.71,58,9.3,7,6,1,11.8,Đường đất,1,1,1,0,Trung bình,Tốt,0,Không ngập,Full cao cấp,Tốt,17,17.14
Hoàng Mai,7.63,109,4.0,2,2,3,11.4,Đường nhựa,1,0,0,1,Thấp,Bình thường,0,Không ngập,Full cao cấp,Hay hỏng,18,22.17
Hoàn Kiếm,1.67,66,6.0,8,7,2,3.8,Đường bê tông,0,0,1,1,Cao,Bình thường,0,Không ngập,Đồ gỗ xịn,Hay hỏng,15,28.92
Cầu Giấy,7.27,81,8.5,5,9,6,4.4,Đường bê tông,1,1,1,1,Trung bình,Bình thường,0,Không ngập,Full cao cấp,Tốt,6,29.05
Tây Hồ,5.76,43,7.3,7,13,10,6.9,Đường bê tông,1,0,1,0,Thấp,Kém (Hay mất trộm),0,Ngập nhẹ,Cơ bản,Tốt,11,14.18
Hai Bà Trưng,4.64,79,7.0,3,5,6,4.0,Đường bê tông,1,1,1,0,Trung bình,Tốt,0,Không ngập,Full cao cấp,Tốt,6,27.88
Hà Đông,15.68,116,4.8,3,3,2,8.9,Đường bê tông,1,1,1,1,Thấp,Tốt,0,Không ngập,Đồ gỗ xịn,Tốt,17,16.13
Hoàn Kiếm,1.94,64,7.9,6,4,3,7.5,Đường đất,1,1,1,1,Thấp,Tốt,0,Không ngập,Full cao cấp,Hay hỏng,16,42.51
