Quan_Huyen,Dac_diem_khu_vuc,Loai_dat,Loai_duong,Huong_nha,Phap_ly,Mat_do_dan_cu,An_ninh,Gan_Tien_ich,Gan_Giao_thong,Noi_that,Tinh_trang_Dien_Nuoc,Muc_do_xuong_cap,Khoang_cach_TT_km,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Tuoi_nha_nam,O_to_vao,Co_Gara,Co_San_thuong,Gan_nghia_trang_bai_rac,Co_bi_ngap,Gia_ban_ty
Chương Mỹ,Trong lang xom,Full tho cu,Duong dat,Đông Bắc,Hợp đồng mua bán,Trung binh,Tốt,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,35.87,116,6.6,1,2,1,2.9,12,0,0,0,0,0,2.69
Hoàn Kiếm,Khu dan cu dong duc,Full tho cu,Duong nhua,Nam,Vi bằng,Trung binh,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,0.0,50,8.6,4,1,1,7.0,14,1,0,1,0,0,28.470000000000006
Đông Anh,Gan KCN,Full tho cu,Duong nhua,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,12.95,82,11.2,4,7,1,5.9,14,1,1,1,0,1,7.38
Ba Đình,Khu dan cu dong duc,Full tho cu,Duong be tong,Đông,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),Gần Bệnh viện,Xa phương tiện CC,Nhà trống,Hay hong,Nat/Can dap di,3.76,39,4.5,2,3,2,4.5,19,1,0,1,0,0,9.54
Ba Vì,Trong lang xom,Full tho cu,Duong nhua,Tây Nam,Chờ sổ,Cao,Tốt,Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,64.59,78,11.1,2,1,2,8.4,9,1,1,1,1,0,1.44
Đan Phượng,Khu dan cu,Full tho cu,Duong be tong,Đông,Chờ sổ,Thap,Bình thường,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,18.18,52,10.7,3,2,3,3.3,0,0,0,1,0,1,3.23
Hoài Đức,Khu dau gia,Full tho cu,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Cao,Bình thường,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,22.9,30,3.1,3,4,1,7.5,13,1,0,1,0,1,2.99
Hoàng Mai,Khu dan cu dong duc,Full tho cu,Duong nhua,Nam,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Xuong cap nhe,10.27,22,5.1,6,1,2,5.7,19,1,0,1,0,0,3.82
Mỹ Đức,Trong lang xom,Tho cu + Dat vuon,Duong be tong,Đông Nam,Hợp đồng mua bán,Trung binh,Kém (Hay trộm cắp),Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Binh thuong,53.79,145,8.4,3,3,1,3.5,18,1,1,1,0,0,1.77
Gia Lâm,Khu dan cu,Full tho cu,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,18.67,155,3.4,4,7,8,10.8,1,1,0,1,0,0,17.39
Thường Tín,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,29.91,109,9.1,2,1,2,11.8,9,1,1,1,0,0,2.82
Ứng Hòa,Trong lang xom,Full tho cu,Duong nhua,Tây Nam,Chờ sổ,Thap,Tốt,Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,Hay hong,Xuong cap nhe,49.53,70,8.2,1,1,1,12.6,26,1,1,0,1,0,1.23
Đông Anh,Khu dan cu,Full tho cu,Duong nhua,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,Hay hong,Xuong cap nhe,18.82,90,11.2,1,2,2,9.3,19,1,1,0,0,0,10.04
Hai Bà Trưng,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây,Hợp đồng mua bán,Cao,Rất tốt (Khu VIP),Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,2.51,43,9.3,6,10,8,9.6,15,1,0,1,1,0,9.78
Hai Bà Trưng,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông,Hợp đồng mua bán,Trung binh,Kém (Hay trộm cắp),Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,3.74,43,10.5,4,1,1,12.2,1,1,0,1,0,0,14.1
Phú Xuyên,Gan lang nghe,Tho cu + Dat vuon,Duong be tong,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,38.18,87,10.5,2,1,2,4.9,7,1,1,1,0,0,1.53
Thạch Thất,Gan lang nghe,Full tho cu,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,27.3,237,12.7,1,2,3,7.5,0,1,1,0,0,0,15.6
Long Biên,Gan KCN,Tho cu + Dat vuon,Duong nhua,Nam,Hợp đồng mua bán,Cao,Bình thường,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,10.42,30,8.4,4,4,1,11.5,3,1,0,1,0,0,3.4
Sóc Sơn,Trong lang xom,Full tho cu,Duong nhua,Đông Bắc,Chờ sổ,Cao,Rất tốt (Khu VIP),Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,34.71,83,6.1,1,2,3,8.9,6,1,1,0,0,0,4.55
Phúc Thọ,Mat duong Quoc lo,Full tho cu,Duong nhua,Đông,Vi bằng,Cao,Kém (Hay trộm cắp),Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Xuong cap nhe,36.8,118,9.5,3,1,2,12.4,16,1,1,1,0,1,5.0
Ba Vì,Gan lang nghe,Full tho cu,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,55.16,135,12.5,3,1,2,7.5,15,1,1,1,1,0,2.17
Đống Đa,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Bình thường,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,3.24,48,10.0,5,4,3,12.0,0,1,0,1,0,0,13.59
Hoàn Kiếm,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây,Vi bằng,Thap,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,0.0,81,8.8,4,5,6,14.0,0,1,1,1,0,0,28.470000000000006
Thanh Oai,Khu dan cu,Full tho cu,Duong be tong,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Tốt,Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,29.35,63,6.2,5,9,7,4.6,2,1,1,1,0,0,4.05
Bắc Từ Liêm,Khu dan cu,Full tho cu,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Tốt,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,14.74,33,10.8,3,4,5,5.3,9,1,0,1,0,0,4.09
Ứng Hòa,Trong lang xom,Full tho cu,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Xuong cap nhe,43.17,100,5.5,2,1,1,5.7,29,1,1,1,0,1,2.13
Mỹ Đức,Trong lang xom,Full tho cu,Duong be tong,Tây Bắc,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,On dinh,Xuong cap nhe,42.07,145,7.7,2,2,3,4.1,26,1,1,1,1,0,2.07
Thanh Oai,Khu dan cu,Full tho cu,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,Hay hong,Binh thuong,28.5,107,3.1,5,3,1,7.0,26,1,0,1,0,0,6.6
Thạch Thất,Trong lang xom,Full tho cu,Duong nhua,Đông Bắc,Chờ sổ,Cao,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,Can sua chua,Xuong cap nhe,33.83,128,11.0,1,2,1,12.8,24,1,1,0,0,0,7.04
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây,Hợp đồng mua bán,Trung binh,Bình thường,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,Hay hong,Xuong cap nhe,6.07,88,8.8,7,5,6,7.2,29,1,1,1,0,0,23.95
Ứng Hòa,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Tây Nam,Vi bằng,Trung binh,Bình thường,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,49.71,110,6.1,2,4,3,7.5,14,1,1,1,1,0,1.26
Mỹ Đức,Trong lang xom,Full tho cu,Duong dat,Đông,Vi bằng,Trung binh,Bình thường,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,59.45,85,11.9,3,3,3,1.9,7,0,0,1,0,0,0.89
Sơn Tây,Mat duong Quoc lo,Full tho cu,Duong nhua,Đông,Sổ đỏ/Sổ hồng,Cao,Tốt,Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,48.89,187,8.7,3,2,3,10.4,9,1,1,1,0,0,9.91
Sóc Sơn,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Đông Nam,Vi bằng,Trung binh,Bình thường,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Binh thuong,30.99,170,7.6,1,2,1,9.4,27,1,1,0,1,0,3.17
Hoàn Kiếm,Khu dan cu dong duc,Full tho cu,Duong be tong,Đông Bắc,Hợp đồng mua bán,Trung binh,Bình thường,Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Binh thuong,0.0,70,11.7,2,4,3,4.7,30,1,1,1,0,0,28.470000000000006
Thanh Oai,Khu dan cu,Full tho cu,Duong be tong,Đông Nam,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,Hay hong,Xuong cap nhe,20.32,59,5.1,3,1,2,3.5,30,1,1,1,1,0,3.14
Long Biên,Gan KCN,Full tho cu,Duong nhua,Bắc,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),Không gần gì,Xa phương tiện CC,Nội thất cũ nát,Can sua chua,Binh thuong,7.93,104,5.5,2,4,5,12.4,28,1,1,1,0,0,18.56
Cầu Giấy,Khu dan cu dong duc,Full tho cu,Duong be tong,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,7.69,20,3.3,2,2,2,1.6,7,0,0,1,0,0,4.43
Đan Phượng,Khu dan cu,Full tho cu,Duong nhua,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Xuong cap nhe,21.2,99,6.2,5,9,10,14.3,26,1,1,1,0,0,9.67
Quốc Oai,Trong lang xom,Tho cu + Dat vuon,Duong be tong,Tây,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,Hay hong,Binh thuong,23.38,110,13.6,3,2,3,4.2,17,1,1,1,0,0,3.31
Bắc Từ Liêm,Khu dan cu,Full tho cu,Duong be tong,Nam,Sổ đỏ/Sổ hồng,Cao,Tốt,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,13.16,86,10.9,5,1,2,4.7,14,1,1,1,1,0,9.27
Thạch Thất,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Tốt,Không gần gì,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,34.93,154,11.8,2,3,4,7.2,2,1,1,1,0,0,6.4
Mỹ Đức,Mat duong Quoc lo,Tho cu + Dat vuon,Duong be tong,Đông,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,44.83,173,12.9,1,2,2,4.5,15,1,1,0,1,0,2.41
Sơn Tây,Trong lang xom,Tho cu + Dat vuon,Duong dat,Đông,Chờ sổ,Trung binh,Bình thường,Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,49.34,111,12.9,3,3,4,2.5,9,0,0,1,0,0,1.68
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,8.12,68,5.4,6,3,2,8.8,5,1,1,1,0,1,13.56
Gia Lâm,Khu dau gia,Tho cu + Dat vuon,Duong nhua,Bắc,Vi bằng,Trung binh,Tốt,Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Nat/Can dap di,19.41,134,8.9,2,4,1,12.8,19,1,1,1,0,0,10.1
Hà Đông,Gan KCN,Tho cu + Dat vuon,Duong nhua,Đông Bắc,Chờ sổ,Thap,Bình thường,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Xuong cap nhe,13.91,43,9.9,2,2,1,14.4,23,1,0,1,0,0,3.18
Phú Xuyên,Mat duong Quoc lo,Tho cu + Dat vuon,Duong dat,Đông,Sổ đỏ/Sổ hồng,Thap,Tốt,Gần trường học/Chợ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,42.58,156,6.5,1,1,1,2.0,8,0,0,0,0,0,2.89
Sóc Sơn,Trong lang xom,Full tho cu,Duong be tong,Tây Nam,Hợp đồng mua bán,Thap,Tốt,Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,36.25,149,8.0,1,1,1,4.0,12,1,1,0,0,0,6.46
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Nam,Vi bằng,Cao,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,9.17,88,7.6,6,9,8,8.9,14,1,1,1,0,0,20.82
Ba Đình,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây,Hợp đồng mua bán,Cao,Bình thường,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Binh thuong,4.06,51,5.8,6,2,1,13.4,23,1,1,1,0,0,20.45
Gia Lâm,Khu dan cu,Full tho cu,Duong nhua,Đông Nam,Hợp đồng mua bán,Trung binh,Bình thường,Gần trường học/Chợ,Gần Metro (Tàu điện),Nhà trống,Hay hong,Nat/Can dap di,11.5,30,3.5,2,1,2,6.6,25,1,0,1,0,0,2.51
Ba Vì,Trong lang xom,Full tho cu,Duong nhua,Bắc,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,63.46,122,14.0,3,1,1,6.6,7,1,1,1,0,0,2.58
Đan Phượng,Khu dan cu,Full tho cu,Duong nhua,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,20.41,46,8.5,4,5,4,14.5,1,1,0,1,0,0,3.9
Hoài Đức,Khu dan cu,Full tho cu,Duong nhua,Nam,Vi bằng,Thap,Bình thường,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,22.18,31,4.5,2,3,4,14.0,0,1,0,1,0,0,2.95
Đông Anh,Khu dan cu,Full tho cu,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,15.53,97,3.5,5,4,1,9.0,14,1,0,1,0,0,10.7
Ứng Hòa,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Cao,Bình thường,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,36.39,128,7.0,1,1,2,8.5,15,1,1,0,0,1,1.55
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong be tong,Tây Nam,Vi bằng,Trung binh,Rất tốt (Khu VIP),Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,Can sua chua,Binh thuong,9.93,50,7.9,6,3,2,3.5,16,1,0,1,0,0,10.71
Ba Đình,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông,Hợp đồng mua bán,Trung binh,Tốt,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,2.28,46,11.9,4,2,2,11.0,10,1,0,1,0,0,14.98
Thanh Xuân,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Nam,Chờ sổ,Trung binh,Kém (Hay trộm cắp),Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,8.7,80,4.4,8,3,1,14.4,15,1,0,1,0,0,17.23
Ba Vì,Mat duong Quoc lo,Full tho cu,Duong nhua,Tây Nam,Hợp đồng mua bán,Thap,Tốt,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,45.9,99,11.2,3,1,1,12.3,3,1,1,1,0,0,3.15
Nam Từ Liêm,Gan KCN,Full tho cu,Duong nhua,Tây Nam,Vi bằng,Thap,Tốt,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,10.67,111,7.6,2,3,2,14.5,5,1,1,1,0,0,20.02
Chương Mỹ,Gan lang nghe,Tho cu + Dat vuon,Duong be tong,Nam,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Nat/Can dap di,36.62,70,5.9,1,2,1,3.8,28,1,1,0,0,0,1.12
Cầu Giấy,Khu dan cu dong duc,Full tho cu,Duong nhua,Nam,Sổ đỏ/Sổ hồng,Trung binh,Tốt,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,Can sua chua,Xuong cap nhe,7.35,74,3.1,8,5,1,11.5,29,1,0,1,0,0,21.38
Cầu Giấy,Khu dan cu dong duc,Full tho cu,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,Không gần gì,Gần Metro (Tàu điện),Cơ bản,Can sua chua,Xuong cap nhe,7.76,50,11.9,5,9,2,11.7,22,1,0,1,0,0,15.92
Bắc Từ Liêm,Khu dau gia,Full tho cu,Duong nhua,Đông Nam,Vi bằng,Trung binh,Bình thường,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,Hay hong,Nat/Can dap di,10.13,82,5.4,3,5,6,8.2,28,1,1,1,0,0,10.95
Hoài Đức,Khu dan cu,Full tho cu,Duong nhua,Đông Nam,Hợp đồng mua bán,Thap,Bình thường,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,Hay hong,Nat/Can dap di,20.47,95,8.0,2,1,2,6.6,17,1,1,1,0,0,6.59
Long Biên,Khu dan cu,Tho cu + Dat vuon,Duong be tong,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,5.44,30,3.4,3,1,1,1.6,15,0,0,1,1,0,1.63
Ba Đình,Khu dan cu dong duc,Full tho cu,Duong nhua,Nam,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,Hay hong,Binh thuong,2.07,33,6.8,4,7,4,5.8,18,1,0,1,0,0,12.02
Hà Đông,Khu dan cu,Full tho cu,Duong nhua,Tây Bắc,Vi bằng,Trung binh,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Xuong cap nhe,13.7,38,9.0,2,1,1,9.9,24,1,0,1,0,0,5.06
Mỹ Đức,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Bình thường,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Xuong cap nhe,59.09,127,13.5,2,2,3,12.2,29,1,1,1,0,0,1.56
Thanh Oai,Khu dan cu,Full tho cu,Duong be tong,Bắc,Chờ sổ,Thap,Bình thường,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,20.9,100,9.3,4,1,1,5.0,12,1,1,1,0,0,7.58
Hà Đông,Khu dan cu,Full tho cu,Duong be tong,Tây,Chờ sổ,Thap,Bình thường,Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,Can sua chua,Xuong cap nhe,13.66,67,9.0,5,5,5,3.0,26,0,0,1,0,0,6.9
Đống Đa,Khu dan cu dong duc,Full tho cu,Duong be tong,Tây,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,4.83,61,4.2,4,2,3,3.4,11,0,0,1,0,0,15.01
Bắc Từ Liêm,Khu dan cu,Full tho cu,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,13.74,31,10.2,3,4,2,10.9,13,1,0,1,0,0,4.68
Phú Xuyên,Trong lang xom,Full tho cu,Duong nhua,Tây Nam,Vi bằng,Cao,Rất tốt (Khu VIP),Không gần gì,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,36.25,87,6.0,3,4,2,12.2,3,1,1,1,0,0,2.63
Đông Anh,Khu dau gia,Full tho cu,Duong nhua,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,21.06,54,5.6,5,8,7,11.9,6,1,1,1,0,0,7.55
Chương Mỹ,Trong lang xom,Full tho cu,Duong nhua,Đông,Hợp đồng mua bán,Cao,Tốt,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Binh thuong,28.27,65,12.8,2,4,5,8.2,22,1,1,1,0,0,2.6
Ứng Hòa,Gan lang nghe,Tho cu + Dat vuon,Duong nhua,Đông Bắc,Hợp đồng mua bán,Trung binh,Tốt,Không gần gì,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,49.45,163,6.7,1,1,2,9.6,13,1,1,0,0,1,2.16
Nam Từ Liêm,Khu dan cu,Full tho cu,Duong be tong,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Không gần gì,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Nat/Can dap di,14.48,53,11.1,1,2,1,5.0,27,1,1,0,0,0,6.76
Thanh Trì,Khu dan cu,Full tho cu,Duong nhua,Tây Bắc,Vi bằng,Trung binh,Bình thường,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,11.61,96,3.8,2,1,2,5.6,15,1,0,1,0,0,10.03
Gia Lâm,Khu dau gia,Full tho cu,Duong nhua,Đông,Vi bằng,Cao,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Binh thuong,18.65,30,8.9,5,1,1,14.0,28,1,0,1,0,0,5.0
Hà Đông,Gan KCN,Full tho cu,Duong nhua,Tây Nam,Hợp đồng mua bán,Thap,Bình thường,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Nat/Can dap di,16.15,35,4.9,2,2,2,12.4,29,1,0,1,0,0,3.4
Ba Đình,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Xuong cap nhe,2.7,47,4.2,7,6,2,13.1,25,1,0,1,0,0,20.1
Hoàng Mai,Khu dan cu dong duc,Full tho cu,Duong nhua,Tây Bắc,Vi bằng,Trung binh,Kém (Hay trộm cắp),Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Nat/Can dap di,8.64,55,8.3,6,7,4,6.0,18,1,1,1,0,0,6.39
Phúc Thọ,Trong lang xom,Tho cu + Dat vuon,Duong nhua,Bắc,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,31.44,138,5.4,3,2,1,7.0,0,1,1,1,0,0,3.18
Phú Xuyên,Trong lang xom,Full tho cu,Duong nhua,Tây,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Xuong cap nhe,43.67,98,12.5,3,5,2,13.2,18,1,1,1,1,0,2.52
Hoàng Mai,Khu dan cu dong duc,Full tho cu,Duong be tong,Tây Nam,Vi bằng,Cao,Bình thường,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,Can sua chua,Nat/Can dap di,8.44,26,4.2,2,3,3,4.4,23,1,0,1,0,0,3.54
Mê Linh,Trong lang xom,Full tho cu,Duong nhua,Nam,Hợp đồng mua bán,Trung binh,Kém (Hay trộm cắp),Gần trường học/Chợ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,27.57,134,11.4,3,5,1,5.1,10,1,1,1,0,0,6.46
Tây Hồ,Khu dan cu dong duc,Full tho cu,Duong nhua,Bắc,Vi bằng,Thap,Bình thường,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Xuong cap nhe,7.8,82,6.4,7,11,10,6.2,22,1,1,1,0,0,28.470000000000006
Phúc Thọ,Trong lang xom,Full tho cu,Duong dat,Tây,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),Gần Công viên/Hồ,Gần Bến xe Bus,Nhà trống,Hay hong,Nat/Can dap di,34.57,113,13.5,3,4,2,2.0,26,0,0,1,0,1,1.5
Thạch Thất,Mat duong Quoc lo,Full tho cu,Duong be tong,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,Hay hong,Binh thuong,30.34,160,6.9,3,1,2,3.8,17,1,1,1,0,0,15.07
Sơn Tây,Mat duong Quoc lo,Full tho cu,Duong nhua,Đông,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,Hay hong,Binh thuong,36.18,125,7.2,2,1,1,13.1,27,1,1,1,0,0,7.76
