Quan_Huyen,Khoang_cach_TT_km,Dac_diem_khu_vuc,Loai_dat,Dien_tich_m2,Mat_tien_m,So_tang,So_phong_ngu,So_phong_tam,Do_rong_duong_m,Loai_duong,O_to_vao,Co_Gara,Co_San_thuong,Huong_nha,Phap_ly,Mat_do_dan_cu,An_ninh,Gan_nghia_trang_bai_rac,Co_bi_ngap,Gan_Tien_ich,Gan_Giao_thong,Noi_that,Tinh_trang_Dien_Nuoc,Muc_do_xuong_cap,Tuoi_nha_nam,Gia_ban_ty
Thường Tín,28.14,Trong lang xom,Full tho cu,176,6.9,1,1,1,7.4,Duong nhua,1,1,0,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,12,9.51
Thường Tín,30.77,Mat duong Quoc lo,Full tho cu,91,11.4,2,3,2,7.2,Duong nhua,1,1,1,Đông,Vi bằng,Thap,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,8,6.35
Hoàng Mai,11.3,Khu dan cu dong duc,Full tho cu,62,3.1,6,9,6,12.7,Duong nhua,1,0,1,Bắc,Hợp đồng mua bán,Thap,Tốt,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,5,9.99
Đông Anh,20.69,Khu dan cu,Full tho cu,107,4.4,4,8,9,10.4,Duong nhua,1,0,1,Tây,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,9,10.0
Thường Tín,27.43,Gan lang nghe,Tho cu + Dat vuon,223,9.9,3,1,1,2.3,Duong dat,0,0,1,Tây,Hợp đồng mua bán,Trung binh,Rất tốt (Khu VIP),0,1,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,9,3.15
Ba Vì,51.81,Trong lang xom,Tho cu + Dat vuon,97,7.6,3,1,2,2.3,Duong dat,0,0,1,Bắc,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),0,0,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,Hay hong,Binh thuong,25,0.88
Ba Vì,63.72,Trong lang xom,Full tho cu,103,11.1,1,1,1,10.3,Duong nhua,1,1,0,Tây Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần trường học/Chợ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,7,2.71
Chương Mỹ,39.84,Gan lang nghe,Full tho cu,40,8.4,2,4,1,4.9,Duong be tong,1,0,1,Tây,Vi bằng,Trung binh,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,1,1.59
Phúc Thọ,35.3,Gan lang nghe,Full tho cu,40,13.0,1,2,2,5.2,Duong nhua,1,0,0,Tây,Chờ sổ,Trung binh,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,Hay hong,Nat/Can dap di,16,0.84
Cầu Giấy,8.64,Khu dan cu dong duc,Full tho cu,50,4.5,4,6,3,2.9,Duong be tong,0,0,1,Bắc,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Không gần gì,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,15,12.37
Cầu Giấy,6.35,Khu dan cu dong duc,Full tho cu,20,8.8,3,4,4,4.2,Duong be tong,1,0,1,Nam,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,5,5.89
Chương Mỹ,34.63,Gan lang nghe,Tho cu + Dat vuon,156,6.7,1,1,2,7.9,Duong nhua,1,1,0,Tây Bắc,Vi bằng,Trung binh,Bình thường,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Binh thuong,19,3.45
Hoài Đức,16.07,Khu dan cu,Tho cu + Dat vuon,145,10.6,1,2,2,7.7,Duong nhua,1,1,0,Đông,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Nat/Can dap di,24,5.62
Mê Linh,31.7,Mat duong Quoc lo,Tho cu + Dat vuon,73,10.9,1,1,1,7.4,Duong nhua,1,1,0,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,13,3.81
Long Biên,5.16,Khu dan cu,Full tho cu,77,3.2,3,5,2,11.5,Duong nhua,1,0,1,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,5,15.05
Ứng Hòa,35.23,Trong lang xom,Full tho cu,44,14.0,2,1,1,3.1,Duong be tong,0,0,1,Đông Nam,Vi bằng,Cao,Rất tốt (Khu VIP),0,1,Không gần gì,Gần Metro (Tàu điện),Nhà trống,On dinh,Nat/Can dap di,21,0.56
Quốc Oai,31.32,Mat duong Quoc lo,Full tho cu,112,11.9,3,4,2,4.0,Duong be tong,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,3,7.94
Ba Vì,56.13,Mat duong Quoc lo,Tho cu + Dat vuon,40,5.5,3,1,1,10.3,Duong nhua,1,0,1,Đông,Vi bằng,Trung binh,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,10,0.74
Phúc Thọ,31.62,Trong lang xom,Tho cu + Dat vuon,136,5.6,1,2,2,4.9,Duong be tong,1,1,0,Đông,Hợp đồng mua bán,Cao,Tốt,0,0,Không gần gì,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,7,3.05
Quốc Oai,25.2,Gan lang nghe,Full tho cu,121,10.6,3,1,2,2.9,Duong dat,0,0,1,Tây,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Xuong cap nhe,30,3.88
Phúc Thọ,34.05,Mat duong Quoc lo,Tho cu + Dat vuon,130,13.5,3,3,3,14.8,Duong nhua,1,1,1,Đông,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Cơ bản,On dinh,Nat/Can dap di,21,2.91
Thường Tín,21.27,Mat duong Quoc lo,Tho cu + Dat vuon,137,10.8,1,2,1,7.4,Duong nhua,1,1,0,Bắc,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,4,5.05
Sơn Tây,36.18,Mat duong Quoc lo,Full tho cu,125,7.2,2,1,1,13.1,Duong nhua,1,1,1,Đông,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,Hay hong,Binh thuong,27,7.76
Chương Mỹ,29.14,Gan lang nghe,Tho cu + Dat vuon,40,13.6,2,3,1,11.4,Duong nhua,1,0,1,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Binh thuong,16,0.94
Bắc Từ Liêm,14.57,Khu dau gia,Full tho cu,50,7.8,1,2,1,4.9,Duong be tong,1,0,0,Đông Bắc,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Binh thuong,30,10.01
Hoàng Mai,5.4,Khu dan cu dong duc,Full tho cu,43,9.9,2,1,1,9.8,Duong nhua,1,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,2,8.58
Thanh Trì,10.28,Gan KCN,Full tho cu,118,9.3,2,2,3,9.3,Duong nhua,1,1,1,Tây Nam,Hợp đồng mua bán,Trung binh,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Binh thuong,29,10.28
Thường Tín,28.12,Trong lang xom,Tho cu + Dat vuon,155,8.5,2,3,3,3.3,Duong be tong,0,0,1,Đông Nam,Hợp đồng mua bán,Thap,Tốt,0,0,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,11,3.3
Đông Anh,17.47,Khu dau gia,Full tho cu,49,8.2,4,1,2,3.4,Duong be tong,0,0,1,Đông Nam,Chờ sổ,Cao,Tốt,0,1,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,4,3.98
Ứng Hòa,44.94,Trong lang xom,Full tho cu,153,13.4,1,1,1,8.5,Duong nhua,1,1,0,Nam,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Nat/Can dap di,19,3.23
Hoàng Mai,11.93,Khu dan cu dong duc,Full tho cu,79,10.9,7,6,2,10.7,Duong nhua,1,1,1,Tây Bắc,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nhà trống,On dinh,Tot/Moi,1,15.32
Thường Tín,20.69,Trong lang xom,Full tho cu,105,5.5,2,4,5,9.5,Duong nhua,1,1,1,Đông Bắc,Hợp đồng mua bán,Thap,Tốt,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,7,5.62
Hai Bà Trưng,3.77,Khu dan cu dong duc,Full tho cu,20,3.4,5,3,1,10.1,Duong nhua,1,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,10,5.64
Long Biên,7.83,Khu dau gia,Tho cu + Dat vuon,68,8.1,3,3,3,3.4,Duong be tong,0,0,1,Đông,Chờ sổ,Trung binh,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,5,8.09
Hai Bà Trưng,3.51,Khu dan cu dong duc,Full tho cu,46,7.6,6,8,7,14.4,Duong nhua,1,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,13,14.08
Hoàn Kiếm,1.84,Khu dan cu dong duc,Full tho cu,39,6.9,7,11,5,3.9,Duong be tong,1,0,1,Tây Bắc,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),0,1,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,On dinh,Tot/Moi,1,19.2
Thanh Trì,16.78,Gan KCN,Full tho cu,31,7.4,5,5,2,5.7,Duong nhua,1,0,1,Đông,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,On dinh,Binh thuong,20,2.51
Hà Đông,17.53,Khu dau gia,Full tho cu,30,4.2,5,7,4,4.3,Duong be tong,1,0,1,Tây Nam,Chờ sổ,Trung binh,Tốt,0,0,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Xuong cap nhe,16,5.17
Hai Bà Trưng,3.43,Khu dan cu dong duc,Full tho cu,20,6.5,7,4,5,7.3,Duong nhua,1,0,1,Đông Bắc,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Metro (Tàu điện),Nhà trống,Can sua chua,Binh thuong,18,6.69
Hoài Đức,15.85,Khu dan cu,Full tho cu,69,3.8,3,5,2,2.3,Duong be tong,0,0,1,Đông,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,10,5.79
Nam Từ Liêm,11.56,Khu dan cu,Full tho cu,65,8.0,1,2,1,14.9,Duong nhua,1,1,0,Tây,Hợp đồng mua bán,Trung binh,Tốt,0,0,Gần Bệnh viện,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,14,10.61
Bắc Từ Liêm,13.01,Khu dau gia,Full tho cu,37,3.2,4,8,9,12.4,Duong nhua,1,0,1,Tây,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),1,0,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,1,4.96
Gia Lâm,17.44,Gan KCN,Full tho cu,52,3.7,3,2,1,4.1,Duong be tong,1,0,1,Tây Nam,Chờ sổ,Thap,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Nat/Can dap di,30,3.58
Đông Anh,18.36,Khu dau gia,Full tho cu,134,3.4,4,7,6,14.0,Duong nhua,1,0,1,Đông Nam,Vi bằng,Trung binh,Tốt,0,0,Gần trường học/Chợ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,14,16.94
Mỹ Đức,59.52,Trong lang xom,Tho cu + Dat vuon,140,8.8,3,5,4,14.9,Duong nhua,1,1,1,Nam,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,1,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,11,1.62
Ba Đình,2.83,Khu dan cu dong duc,Full tho cu,20,7.6,2,2,1,7.5,Duong nhua,1,0,1,Tây Bắc,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Không gần gì,Gần Bến xe Bus,Nhà trống,Can sua chua,Binh thuong,26,7.17
Thanh Oai,26.9,Khu dan cu,Full tho cu,135,9.8,2,2,1,14.4,Duong nhua,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,5,8.86
Bắc Từ Liêm,11.38,Khu dan cu,Full tho cu,45,6.5,3,2,1,10.1,Duong nhua,1,0,1,Nam,Chờ sổ,Cao,Rất tốt (Khu VIP),0,1,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,Hay hong,Xuong cap nhe,24,5.38
Thanh Oai,26.97,Khu dan cu,Full tho cu,56,4.2,2,4,2,7.1,Duong nhua,1,0,1,Tây,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Binh thuong,20,3.05
Chương Mỹ,26.15,Mat duong Quoc lo,Full tho cu,124,11.6,1,2,1,14.8,Duong nhua,1,1,0,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Nat/Can dap di,17,5.07
Bắc Từ Liêm,15.07,Khu dan cu,Full tho cu,121,5.4,5,7,5,5.7,Duong nhua,1,1,1,Đông,Chờ sổ,Thap,Kém (Hay trộm cắp),0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,Can sua chua,Nat/Can dap di,19,11.59
Gia Lâm,17.24,Khu dan cu,Full tho cu,115,8.7,1,1,2,4.7,Duong be tong,1,1,0,Tây,Hợp đồng mua bán,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,0,13.94
Thanh Trì,16.91,Khu dan cu,Full tho cu,76,8.4,2,2,1,12.8,Duong nhua,1,1,1,Tây,Vi bằng,Cao,Tốt,0,0,Gần Bệnh viện,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,11,9.54
Đống Đa,5.25,Khu dan cu dong duc,Full tho cu,80,6.4,4,3,2,4.9,Duong be tong,1,1,1,Tây,Hợp đồng mua bán,Thap,Rất tốt (Khu VIP),1,0,Gần Bệnh viện,Xa phương tiện CC,Cơ bản,On dinh,Tot/Moi,2,17.86
Hoài Đức,22.04,Khu dan cu,Full tho cu,30,3.3,5,8,1,10.2,Duong nhua,1,0,1,Tây,Chờ sổ,Thap,Bình thường,0,0,Không gần gì,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,11,3.21
Bắc Từ Liêm,10.4,Khu dan cu,Full tho cu,69,6.0,2,1,1,13.1,Duong nhua,1,1,1,Đông Bắc,Vi bằng,Cao,Tốt,0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Tot/Moi,6,10.16
Bắc Từ Liêm,15.45,Khu dan cu,Full tho cu,30,7.2,1,1,1,6.3,Duong nhua,1,0,0,Tây,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,8,4.08
Ba Đình,3.09,Khu dan cu dong duc,Full tho cu,36,8.2,7,5,2,12.9,Duong nhua,1,0,1,Tây,Chờ sổ,Cao,Bình thường,0,0,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Binh thuong,30,12.02
Mỹ Đức,40.47,Mat duong Quoc lo,Tho cu + Dat vuon,69,5.3,1,2,2,12.8,Duong nhua,1,1,0,Đông Nam,Chờ sổ,Cao,Bình thường,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Tot/Moi,13,1.02
Thanh Xuân,6.41,Khu dan cu dong duc,Full tho cu,71,10.8,7,10,9,14.7,Duong nhua,1,1,1,Tây,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,7,16.1
Đông Anh,12.33,Khu dan cu,Full tho cu,59,5.5,3,6,7,3.2,Duong be tong,0,0,1,Tây Nam,Hợp đồng mua bán,Trung binh,Tốt,0,0,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Xuong cap nhe,30,5.08
Hai Bà Trưng,4.46,Khu dan cu dong duc,Full tho cu,65,11.9,3,3,2,13.7,Duong nhua,1,1,1,Tây,Hợp đồng mua bán,Thap,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Bến xe Bus,Cơ bản,Can sua chua,Binh thuong,25,19.9
Thạch Thất,32.82,Trong lang xom,Tho cu + Dat vuon,150,9.4,3,6,7,13.2,Duong nhua,1,1,1,Tây,Vi bằng,Trung binh,Bình thường,0,0,Gần trường học/Chợ,Gần Bến xe Bus,Cơ bản,Can sua chua,Nat/Can dap di,16,4.46
Bắc Từ Liêm,14.28,Khu dan cu,Full tho cu,101,3.5,1,2,1,11.2,Duong nhua,1,0,0,Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Không gần gì,Xa phương tiện CC,Nhà trống,Can sua chua,Binh thuong,16,12.16
Nam Từ Liêm,11.18,Gan KCN,Full tho cu,58,3.5,5,9,3,14.9,Duong nhua,1,0,1,Tây,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Full nội thất cao cấp,On dinh,Tot/Moi,1,9.07
Thạch Thất,38.13,Gan lang nghe,Full tho cu,138,5.0,1,2,1,13.4,Duong nhua,1,1,0,Nam,Chờ sổ,Thap,Kém (Hay trộm cắp),0,0,Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,10,7.41
Nam Từ Liêm,12.11,Gan KCN,Tho cu + Dat vuon,160,10.9,2,2,1,7.6,Duong nhua,1,1,1,Tây,Vi bằng,Cao,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Nội thất cũ nát,On dinh,Binh thuong,30,16.36
Phúc Thọ,26.41,Trong lang xom,Full tho cu,217,8.5,1,1,2,12.9,Duong nhua,1,1,0,Tây Nam,Vi bằng,Trung binh,Tốt,0,0,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Binh thuong,26,7.25
Đan Phượng,21.15,Khu dan cu,Full tho cu,118,4.2,2,4,2,14.6,Duong nhua,1,0,1,Đông,Sổ đỏ/Sổ hồng,Trung binh,Bình thường,0,0,Không gần gì,Xa phương tiện CC,Full nội thất cao cấp,Hay hong,Nat/Can dap di,19,6.28
Hà Đông,12.43,Khu dau gia,Tho cu + Dat vuon,43,3.2,1,2,1,8.8,Duong nhua,1,0,0,Đông,Vi bằng,Trung binh,Tốt,1,0,Gần Công viên/Hồ,Gần Metro (Tàu điện),Nội thất cũ nát,On dinh,Nat/Can dap di,25,1.93
Thanh Trì,16.41,Khu dan cu,Full tho cu,82,10.9,4,2,2,6.4,Duong nhua,1,1,1,Tây Nam,Vi bằng,Cao,Rất tốt (Khu VIP),0,0,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,12,8.22
Nam Từ Liêm,11.82,Khu dan cu,Full tho cu,128,6.9,5,5,5,12.9,Duong nhua,1,1,1,Tây Bắc,Vi bằng,Cao,Kém (Hay trộm cắp),0,0,Không gần gì,Gần Metro (Tàu điện),Nội thất cũ nát,Can sua chua,Xuong cap nhe,17,25.21
Hoàn Kiếm,0.95,Khu dan cu dong duc,Full tho cu,37,8.6,4,2,2,3.7,Duong be tong,1,0,1,Đông Nam,Hợp đồng mua bán,Cao,Bình thường,0,0,Gần Bệnh viện,Gần Bến xe Bus,Nhà trống,On dinh,Tot/Moi,8,22.74
Thanh Trì,13.6,Khu dan cu,Full tho cu,97,3.7,2,2,1,4.7,Duong be tong,1,0,1,Bắc,Vi bằng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Nhà trống,Hay hong,Xuong cap nhe,25,8.62
Mỹ Đức,46.57,Trong lang xom,Tho cu + Dat vuon,167,6.0,2,1,2,3.1,Duong be tong,0,0,1,Tây,Sổ đỏ/Sổ hồng,Trung binh,Tốt,0,0,Không gần gì,Xa phương tiện CC,Cơ bản,On dinh,Binh thuong,22,1.71
Tây Hồ,4.53,Khu dan cu dong duc,Full tho cu,44,6.6,4,4,4,13.6,Duong nhua,1,0,1,Bắc,Sổ đỏ/Sổ hồng,Cao,Rất tốt (Khu VIP),0,0,Gần Công viên/Hồ,Xa phương tiện CC,Cơ bản,On dinh,Xuong cap nhe,18,16.57
Ba Vì,68.84,Trong lang xom,Full tho cu,93,9.5,1,1,2,11.9,Duong nhua,1,1,0,Nam,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Cơ bản,On dinh,Tot/Moi,6,2.16
Bắc Từ Liêm,12.35,Khu dau gia,Full tho cu,83,3.5,1,1,1,8.4,Duong nhua,1,0,0,Đông Bắc,Sổ đỏ/Sổ hồng,Cao,Bình thường,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nội thất cũ nát,Can sua chua,Xuong cap nhe,29,15.61
Sơn Tây,35.29,Mat duong Quoc lo,Tho cu + Dat vuon,82,9.7,2,2,2,6.0,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần Công viên/Hồ,Gần Bến xe Bus,Nội thất cũ nát,On dinh,Tot/Moi,12,2.52
Hoàn Kiếm,1.87,Khu dan cu dong duc,Full tho cu,29,6.3,2,2,3,11.2,Duong nhua,1,0,1,Đông Nam,Sổ đỏ/Sổ hồng,Trung binh,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Xa phương tiện CC,Full nội thất cao cấp,Hay hong,Binh thuong,25,17.87
Thanh Trì,17.37,Gan KCN,Full tho cu,94,3.6,1,2,2,1.8,Duong be tong,0,0,0,Đông Bắc,Chờ sổ,Cao,Rất tốt (Khu VIP),0,0,Không gần gì,Gần Bến xe Bus,Full nội thất cao cấp,Hay hong,Binh thuong,26,7.64
Hai Bà Trưng,4.54,Khu dan cu dong duc,Full tho cu,62,7.8,6,1,2,12.3,Duong nhua,1,1,1,Tây,Chờ sổ,Cao,Bình thường,0,0,Gần Công viên/Hồ,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,9,24.51
Mê Linh,27.38,Trong lang xom,Full tho cu,113,7.0,2,1,1,3.6,Duong be tong,1,1,1,Đông,Sổ đỏ/Sổ hồng,Thap,Kém (Hay trộm cắp),0,0,Gần Bệnh viện,Gần Metro (Tàu điện),Full nội thất cao cấp,Hay hong,Binh thuong,22,7.05
Tây Hồ,4.29,Khu dan cu dong duc,Full tho cu,54,5.8,7,9,2,12.7,Duong nhua,1,1,1,Nam,Chờ sổ,Thap,Tốt,0,0,Không gần gì,Xa phương tiện CC,Nhà trống,Hay hong,Xuong cap nhe,29,22.06
Phúc Thọ,38.89,Trong lang xom,Tho cu + Dat vuon,156,6.9,1,1,2,5.9,Duong nhua,1,1,0,Đông,Sổ đỏ/Sổ hồng,Thap,Tốt,0,0,Gần Bệnh viện,Gần Bến xe Bus,Cơ bản,Hay hong,Nat/Can dap di,21,2.0
Phú Xuyên,38.72,Trong lang xom,Full tho cu,169,13.4,3,4,4,12.4,Duong nhua,1,1,1,Đông Nam,Sổ đỏ/Sổ hồng,Thap,Rất tốt (Khu VIP),0,0,Gần trường học/Chợ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Xuong cap nhe,17,6.11
Đống Đa,5.71,Khu dan cu dong duc,Full tho cu,64,8.8,7,2,3,7.4,Duong nhua,1,1,1,Đông,Sổ đỏ/Sổ hồng,Thap,Bình thường,0,0,Gần trường học/Chợ,Gần Metro (Tàu điện),Full nội thất cao cấp,On dinh,Tot/Moi,6,23.48
Thanh Xuân,9.71,Khu dan cu dong duc,Full tho cu,50,7.1,4,4,3,8.3,Duong nhua,1,0,1,Tây Bắc,Hợp đồng mua bán,Trung binh,Kém (Hay trộm cắp),0,0,Không gần gì,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,10,10.69
Hai Bà Trưng,4.32,Khu dan cu dong duc,Full tho cu,36,5.9,2,1,2,13.4,Duong nhua,1,0,1,Nam,Hợp đồng mua bán,Trung binh,Kém (Hay trộm cắp),0,0,Gần trường học/Chợ,Xa phương tiện CC,Full nội thất cao cấp,On dinh,Tot/Moi,3,12.03
Ba Đình,3.36,Khu dan cu dong duc,Full tho cu,67,3.9,2,3,4,8.2,Duong nhua,1,0,1,Tây,Sổ đỏ/Sổ hồng,Trung binh,Rất tốt (Khu VIP),0,0,Không gần gì,Xa phương tiện CC,Nhà trống,Can sua chua,Nat/Can dap di,20,18.32
Đan Phượng,18.31,Khu dan cu,Full tho cu,53,4.4,5,1,2,2.4,Duong be tong,0,0,1,Đông Nam,Sổ đỏ/Sổ hồng,Cao,Tốt,1,0,Không gần gì,Xa phương tiện CC,Nhà trống,Hay hong,Xuong cap nhe,19,2.08
Ba Đình,4.93,Khu dan cu dong duc,Full tho cu,91,10.0,5,9,4,10.0,Duong nhua,1,1,1,Tây Nam,Sổ đỏ/Sổ hồng,Cao,Tốt,0,0,Gần Bệnh viện,Xa phương tiện CC,Nhà trống,On dinh,Tot/Moi,1,42.43
